"fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
9,0,5434.95027669271,146471.305555556,3701.61694335938,2415.75,6,"S100A6","Membrane"
9,0,5364.37215169271,146575.517103407,3631.03881835938,2519.96154785156,6,"EZH2","0"
9,0,5468.27083333333,146408.630506727,3734.9375,2353.07495117188,6,"EPHB6","0"
9,0,5459.24593098958,146484.130506727,3725.91259765625,2428.57495117188,6,"KRT17","0"
9,0,5386.58797200521,146383.319227431,3653.25463867188,2327.763671875,6,"MZB1","Membrane"
9,0,5358.91902669271,146608.341322157,3625.58569335938,2552.78576660156,6,"CCR5","0"
9,0,5464.18343098958,146406.855482313,3730.85009765625,2351.29992675781,6,"KRT6A","0"
9,0,5437.29988606771,146379.52223036,3703.96655273438,2323.96667480469,6,"KRT6A","0"
9,0,5448.74446614583,146383.466688368,3715.4111328125,2327.9111328125,6,"KRT6A","0"
9,0,5551.15852864583,146589.58057997,3817.8251953125,2534.02502441406,6,"FAS","Nuclear"
9,0,5648.71101888021,146595.744520399,3915.37768554688,2540.18896484375,6,"FZD5","Nuclear"
9,0,5456.46687825521,146427.372328016,3723.13354492188,2371.81677246094,6,"KRT1","0"
9,0,5474.53328450521,146589.855482313,3741.19995117188,2534.29992675781,6,"TCL1A","0"
9,0,5550.36189778646,146577.36988661,3817.02856445312,2521.81433105469,6,"IGHG1","Nuclear"
9,0,5509.42317708333,146586.975721571,3776.08984375,2531.42016601562,6,"IGFBP5","0"
9,0,5506.01350911458,146575.415540907,3772.68017578125,2519.85998535156,6,"HLA-B","0"
9,0,5361.18343098958,146419.043104384,3627.85009765625,2363.48754882812,6,"CD81","Membrane"
9,0,5387.43318684896,146541.269788954,3654.09985351562,2485.71423339844,6,"S100P","0"
9,0,5432.62410481771,146527.528211806,3699.29077148438,2471.97265625,6,"TPM2","0"
9,0,5475.84993489583,146401.588880751,3742.5166015625,2346.03332519531,6,"KRT23","0"
9,0,5443.75130208333,146390.573988173,3710.41796875,2335.01843261719,6,"CD81","0"
9,0,5431.13338216146,146503.880506727,3697.80004882812,2448.32495117188,6,"LYN","0"
9,0,5415.01692708333,146556.438856337,3681.68359375,2500.88330078125,6,"GDF15","0"
9,0,5444.35847981771,146401.655653212,3711.02514648438,2346.10009765625,6,"ETV5","0"
9,0,5634.63338216146,146579.45557997,3901.30004882812,2523.90002441406,6,"DUSP5","0"
9,0,5291.71346028646,146055.755506727,3558.38012695312,2000.19995117188,6,"HLA-C","0"
9,0,5462.25325520833,146426.815565321,3728.919921875,2371.26000976562,6,"FYN","Membrane"
9,0,5419.27351888021,146553.115614149,3685.94018554688,2497.56005859375,6,"S100A8","0"
9,0,5437.39314778646,146539.95557997,3704.05981445312,2484.40002441406,6,"RPL37","Membrane"
9,0,5636.58333333333,146542.405531141,3903.25,2486.84997558594,6,"SOX4","Nuclear"
9,0,5389.85359700521,146540.755506727,3656.52026367188,2485.19995117188,6,"KRT17","0"
9,0,5291.43318684896,146633.384168837,3558.09985351562,2577.82861328125,6,"EPHB4","0"
9,0,5364.87605794271,146425.855482313,3631.54272460938,2370.29992675781,6,"KRT19","0"
9,0,5336.00838216146,146415.880506727,3602.67504882812,2360.32495117188,6,"IFITM1","0"
9,0,5332.13338216146,146414.398451063,3598.80004882812,2358.84289550781,6,"MALAT1","0"
9,0,5346.56331380208,146407.375623915,3613.22998046875,2351.82006835938,6,"IGFBP3","0"
9,0,5295.00813802083,146057.130506727,3561.6748046875,2001.57495117188,6,"RPL21","0"
9,0,5378.89339192708,146170.475477431,3645.56005859375,2114.919921875,6,"XBP1","0"
9,0,5463.25008138021,146542.255628798,3729.91674804688,2486.70007324219,6,"HSPB1","0"
9,0,5456.95833333333,146471.105604384,3723.625,2415.55004882812,6,"ITGA2","0"
9,0,5400.43343098958,146546.580457899,3667.10009765625,2491.02490234375,6,"MIF","Membrane"
9,0,5661.03328450521,146589.495619032,3927.69995117188,2533.94006347656,6,"VEGFA","Nuclear"
9,0,5421.55330403646,146509.155531141,3688.21997070312,2453.59997558594,6,"MZT2A","0"
9,0,5544.38313802083,146438.305555556,3811.0498046875,2382.75,6,"S100A10","0"
9,0,5453.16658528646,146398.655531141,3719.83325195312,2343.09997558594,6,"S100A8","0"
9,0,5364.31673177083,146374.055555556,3630.9833984375,2318.5,6,"SOD1","0"
9,0,5154.53377278646,146384.95557997,3421.20043945312,2329.40002441406,6,"H4C3","0"
9,0,5411.45564778646,146372.944593641,3678.12231445312,2317.38903808594,6,"SAT1","0"
9,0,5381.45320638021,146558.515638563,3648.11987304688,2502.96008300781,6,"S100A8","Membrane"
9,0,5640.93343098958,146544.430555556,3907.60009765625,2488.875,6,"DUSP5","Nuclear"
9,0,5211.63338216146,146590.598402235,3478.30004882812,2535.04284667969,6,"ETS1","Nuclear"
9,0,5470.68318684896,146395.988783095,3737.34985351562,2340.43322753906,6,"CD74","0"
9,0,5386.05843098958,146377.430555556,3652.72509765625,2321.875,6,"CTNNB1","0"
9,0,5422.78304036458,146466.805555556,3689.44970703125,2411.25,6,"S100A8","0"
9,0,5480.17317708333,146577.775526259,3746.83984375,2522.21997070312,6,"EPHB4","0"
9,0,5374.27547200521,146498.405531141,3640.94213867188,2442.84997558594,6,"IL36G","Membrane"
9,0,5374.79573567708,146504.08057997,3641.46240234375,2448.52502441406,6,"S100A6","0"
9,0,5494.15852864583,146477.055555556,3760.8251953125,2421.5,6,"CLDN4","Membrane"
9,0,5401.20027669271,146376.02223036,3667.86694335938,2320.46667480469,6,"MIF","0"
9,0,5162.84993489583,146388.355482313,3429.5166015625,2332.79992675781,6,"STMN1","0"
9,0,5465.56184895833,146481.112562391,3732.228515625,2425.55700683594,6,"SFN","0"
