"","fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
"282",2,329,10092.5306532118,140095.705549452,2886.97509765625,3340.14999389648,3,"STAT3","Nuclear"
"283",2,329,10093.7191297743,140085.701002333,2888.16357421875,3330.14544677734,3,"PPBP","Nuclear"
"284",2,329,10089.7755262587,140063.515577528,2884.21997070312,3307.96002197266,3,"HLA-A","Cytoplasm"
"285",2,329,10089.8304578993,140076.380537245,2884.27490234375,3320.82498168945,3,"B2M","Membrane"
"286",2,329,10094.3285047743,140077.410108778,2888.77294921875,3321.85455322266,3,"VIM","Nuclear"
"287",2,329,10072.7889539931,140093.555555556,2867.2333984375,3338,3,"RPL22","Membrane"
"288",2,329,10092.6891004774,140045.97221205,2887.13354492188,3290.41665649414,3,"TYK2","Cytoplasm"
"289",2,329,10085.1053602431,140061.105512831,2879.5498046875,3305.54995727539,3,"COL6A3","Membrane"
"290",2,329,10068.1056043837,140097.730543349,2862.55004882812,3342.17498779297,3,"MIF","Cytoplasm"
"291",2,329,10088.0999891493,140076.011121962,2882.54443359375,3320.45556640625,2,"DUSP2","Membrane"
"292",2,329,10087.0223524306,140031.97221205,2881.466796875,3276.41665649414,2,"COL1A2","Cytoplasm"
"293",2,329,10097.3304578993,140044.730543349,2891.77490234375,3289.17498779297,2,"HDAC4","Cytoplasm"
"294",2,329,10087.3556043837,140080.27223036,2881.80004882812,3324.71667480469,2,"S100A4","Membrane"
"295",2,329,10072.7953016493,140093.0955641,2867.23974609375,3337.54000854492,2,"RPL22","Membrane"
"296",2,329,10088.2647840712,140072.555555556,2882.70922851562,3317,2,"CD63","Membrane"
"297",2,329,10073.1334364149,140096.433332655,2867.57788085938,3340.87777709961,2,"ALCAM","Membrane"
"298",2,329,10083.6983778212,140042.398420546,2878.14282226562,3286.84286499023,2,"CXCL5","Cytoplasm"
"299",2,329,10085.1053602431,140058.405531141,2879.5498046875,3302.84997558594,2,"CDH1","Membrane"
"300",2,329,10091.0721571181,140080.588880751,2885.5166015625,3325.03332519531,2,"RAC1","Cytoplasm"
"301",2,329,10086.7157118056,140063.855543349,2881.16015625,3308.29998779297,2,"CALM2","Membrane"
"302",2,329,10080.8128797743,140077.226972792,2875.25732421875,3321.67141723633,2,"MIF","Cytoplasm"
"303",2,329,10074.2374403212,140094.091963026,2868.68188476562,3338.5364074707,2,"CALM2","Membrane"
"304",2,329,10091.5125868056,140066.226972792,2885.95703125,3310.67141723633,2,"H4C3","Cytoplasm"
"305",2,329,10094.2223036024,140045.97221205,2888.66674804688,3290.41665649414,2,"COL18A1","Cytoplasm"
"306",2,329,10085.6056043837,140057.238905165,2880.05004882812,3301.68334960938,2,"MMP7","Membrane"
"307",2,329,10083.4557020399,140052.741285536,2877.90014648438,3297.18572998047,2,"PTGES3","Cytoplasm"
"308",2,329,10086.7411024306,140043.412702772,2881.185546875,3287.8571472168,2,"PPARD","Membrane"
"309",2,329,10088.4056532118,140047.055555556,2882.85009765625,3291.5,2,"PTGDR2","Membrane"
"310",2,329,10086.6307508681,140076.755537245,2881.0751953125,3321.19998168945,2,"H2AZ1","Membrane"
"311",2,329,10088.0355360243,140053.615553114,2882.47998046875,3298.05999755859,2,"HMGB2","Membrane"
"312",2,329,10094.3304578993,140077.230543349,2888.77490234375,3321.67498779297,2,"VIM","Nuclear"
"313",2,329,10094.1681043837,140084.380537245,2888.61254882812,3328.82498168945,2,"CD55","Nuclear"
"314",2,329,10085.4557020399,140060.391889784,2879.90014648438,3304.83633422852,2,"COL6A3","Membrane"
"315",2,329,10090.2774793837,140075.377760145,2884.72192382812,3319.82220458984,2,"B2M","Membrane"
"316",2,329,10083.1056043837,140073.580549452,2877.55004882812,3318.02499389648,2,"CALM2","Membrane"
"317",2,329,10083.3697645399,140058.912702772,2877.81420898438,3303.3571472168,2,"GPX1","Membrane"
"318",2,329,10081.1776258681,140070.811079237,2875.6220703125,3315.25552368164,2,"STMN1","Cytoplasm"
